,Bigram Frequency,Bigram Average Frequency,Bigram Frequency with Position,Bigram Average Frequency with Position,Bigram Independent Probabilities,Mean Edit Distance,Transition Probability,Average Transition Probability,Transition Log Probability
88,2612.0,435.3333333333333,784,130.66666666666666,2.7196189322891714e-15,6.2399,1.971040120960355e-09,0.08162758222464181,28.918395710927324
89,2010.0,335.0,402,67.0,5.523403073178186e-16,6.6671,6.686390395235275e-11,0.05347477504065699,33.79998145236724
90,1836.0,262.2857142857143,368,52.57142857142857,3.608358824621629e-19,7.1776,1.3704487559725859e-12,0.048069947139405995,39.408488754947555
91,4139.0,591.2857142857143,1117,159.57142857142858,1.4082220685672048e-16,7.0633,2.430231570115991e-09,0.11036966892711202,28.61625906314268
92,1450.0,290.0,422,84.4,3.3909633951500934e-13,6.0591,4.6300256078595965e-10,0.0463993517782801,31.008260776072806
93,2790.0,558.0,291,58.2,3.0580968960346184e-12,5.8702,1.4412602096890226e-08,0.07582638338979437,26.048093931332485
94,3810.0,635.0,882,147.0,6.343443738289794e-14,6.132,1.5736138094243497e-08,0.10583084646880483,25.921343235782242
95,5538.0,615.3333333333334,607,67.44444444444444,1.2057355830570043e-20,8.2008,9.213004003652395e-12,0.09925759564344729,36.659465498667984
96,2467.0,616.75,466,116.5,1.1389078225536963e-09,5.3457,8.168641923199326e-07,0.09668482373862324,20.223400421033638
97,1143.0,285.75,199,49.75,9.406851842400101e-11,5.7923,3.132014401611002e-08,0.0561440785382946,24.928333912662474
98,3277.0,546.1666666666666,981,163.5,8.145104108505994e-15,6.1163,6.118467259266308e-09,0.09404383482791116,27.284182566167445
99,1620.0,270.0,494,82.33333333333333,3.571970442334538e-16,6.6935,4.0434822713466045e-10,0.06696447108126273,31.203682662902963
100,2575.0,515.0,715,143.0,3.1207375185151363e-12,5.695,1.9316471829656106e-08,0.07906598513002175,25.625593150364313
101,1273.0,254.6,261,52.2,1.356761697055763e-15,6.0847,1.8186005449275708e-12,0.021029048212436417,39.00030844840144
102,3225.0,537.5,844,140.66666666666666,2.295369209939381e-14,6.0465,1.7331575753243343e-09,0.08032574389148257,29.103950026490878
103,4289.0,714.8333333333334,452,75.33333333333333,9.720506723282199e-14,6.3855,8.147631606097892e-10,0.07309352776045847,30.192900198328154
104,2166.0,309.42857142857144,298,42.57142857142857,6.426684313605166e-20,7.0789,2.5753691091897034e-14,0.030909592233999552,45.14221411017182
105,3748.0,535.4285714285714,964,137.71428571428572,1.4350876846209117e-16,6.6839,9.245976849611322e-10,0.09913270983523265,30.010455198563747
106,1813.0,453.25,375,93.75,2.3206530446237275e-10,5.5638,3.3481605135362974e-07,0.08332993537981838,21.5101279706925
107,2504.0,500.8,674,134.8,2.5773499234383425e-12,5.7215,4.937221847342839e-09,0.06506608304617097,27.593653381913015
108,3573.0,595.5,389,64.83333333333333,4.876399373974162e-14,6.6262,7.1498164119031254e-09,0.09589299020013768,27.059446656156407
109,1767.0,294.5,272,45.333333333333336,1.4950193608083078e-15,6.7618,8.390684790493296e-10,0.07336259346235921,30.150492390469193
110,2584.0,430.6666666666667,741,123.5,1.8472770801472855e-15,6.3531,5.017677891676843e-09,0.09174086851659743,27.57033299364091
111,1970.0,281.42857142857144,519,74.14285714285714,7.816966965675367e-19,6.756,1.1767355772323434e-11,0.061042313798294445,36.3064188731497
112,3033.0,606.6,897,179.4,7.461115455901557e-12,5.8873,1.7778218410536814e-08,0.0781342012417521,25.745314002932677
113,1997.0,285.2857142857143,344,49.142857142857146,6.845874067560949e-20,7.1832,6.591323084879625e-14,0.034311633946131605,43.78642524006335
114,2635.0,439.1666666666667,355,59.166666666666664,7.449457684812271e-17,6.3942,4.481979014249748e-11,0.05086671919036386,34.37707314995701
115,2368.0,473.6,804,160.8,1.5200099350787186e-12,5.875,2.0547068968097574e-08,0.07976666066918314,25.536492150436665
116,3423.0,489.0,877,125.28571428571429,1.4572189359997834e-17,7.1974,2.0142337153214718e-10,0.08369102241352427,32.209049857200874
117,3354.0,559.0,1103,183.83333333333334,1.2124553941326997e-14,6.4894,9.949328074314203e-09,0.09993651922852935,26.582753757132746
118,7147.0,1021.0,709,101.28571428571429,2.7662187201313407e-15,7.0004,3.9583822942056843e-10,0.09021520667172543,31.23436999658908
119,1112.0,278.0,71,17.75,5.243517533067972e-13,6.1572,4.354760182628514e-10,0.0275313415268163,31.09668767731907
120,2209.0,276.125,232,29.0,1.4543904308557128e-22,7.7906,9.31301397546846e-15,0.039528380868564215,46.60967327982572
121,3716.0,412.8888888888889,554,61.55555555555556,9.732272129692377e-23,8.2468,1.2680071335627155e-14,0.05453149786254143,46.16443046659985
122,2796.0,399.42857142857144,663,94.71428571428571,1.9042360209155253e-17,7.2188,1.5657432378604532e-11,0.06301056790431621,35.89436139552324
123,2856.0,408.0,582,83.14285714285714,7.777004619482647e-18,7.2146,1.306323529936239e-11,0.06175502551787065,36.155696798308114
124,1689.0,241.28571428571428,252,36.0,9.733215552197547e-21,7.2959,2.4874750426282617e-14,0.03079056349082827,45.1923112775636
125,1583.0,263.8333333333333,317,52.833333333333336,7.983432825667737e-16,6.6607,1.6022923395296598e-10,0.05964756505963213,32.53914355623785
126,3297.0,659.4,410,82.0,2.7768945217223244e-12,6.0684,3.2254331524681922e-09,0.06122674185969471,28.207859936874968
